id,trace
1,b2a3-c7b6;d2c3-b6c5;f2e3-g7f6;h2g3-b8c7;g3f4-c7b6;c3d4-b6a5
2,d2c3-a7b6;f2e3-b6a5;h2g3-c7b6;g3h4-d8c7;b2a3-g7h6;e3f4-e7d6
3,h2g3-g7f6;d2c3-f6g5;b2a3-c7b6;g3h4-g5f4;g1h2-b6a5;e1d2-d8c7
4,f2e3-c7d6;e3f4-a7b6;f4e5-d6f4;d2c3-f4e3;c3d4-g7h6;d4c5-b6d4
5,d2e3-c7d6;h2g3-e7f6;c1d2-g7h6;g1h2-b8c7;e3d4-h6g5;d4c5-d6b4
6,h2g3-g7h6;g3f4-e7f6;b2a3-c7d6;d2e3-f6e5;f2g3-h8g7;a3b4-a7b6
7,b2a3-e7f6;a3b4-d8e7;b4a5-f6e5;a1b2-a7b6;b2a3-b8a7;c1b2-e5d4
8,d2c3-g7f6;c1d2-f6e5;b2a3-e5f4;a3b4-a7b6;d2e3-f4d2;a1b2-b8a7
9,f2g3-g7h6;g3h4-a7b6;b2a3-b6a5;a1b2-c7d6;b2c3-b8a7;c1b2-d8c7
10,b2c3-g7f6;c3b4-e7d6;b4a5-f6e5;h2g3-f8e7;g3h4-e7f6;g1h2-d8e7
11,b2c3-g7f6;c1b2-f6e5;d2e3-c7d6;e1d2-d6c5;h2g3-b8c7;g1h2-f8g7
12,b2c3-e7f6;a1b2-f6e5;f2e3-g7f6;g1f2-f6g5;e3d4-h8g7;d4h8-d8e7
13,b2c3-a7b6;d2e3-b6a5;f2g3-b8a7;a1b2-c7d6;c1d2-g7f6;e1f2-f8g7
14,b2a3-a7b6;d2c3-b6c5;c3b4-c7d6;a1b2-e7f6;b2c3-b8c7;c1d2-f8e7
15,b2a3-c7d6;d2c3-g7h6;f2e3-h8g7;h2g3-e7f6;g1f2-d6e5;e3d4-d8c7;a1b2-h6g5
16,d2c3-g7f6;f2e3-f6g5;h2g3-a1b6;g3f4-g5h4;b2a3-e7f6;e1f2-b6a5
17,d2c3-c7b6;c3d4-e7d6;f2g3-d8c7;g3f4-b6a5;b2a3-c7b6;c1d2-f8e7;d4e5-b8c7
18,e5f6-d6e5;g1f2-e5d4;h4g5-a5b4;f4g5-b4c3;g5h6-c3d2;f6g7-d2e1
19,d2c3-e7d6;f2e3-f6g5;h2g3-c7b6;g3f4-b6c5;e3d4-g5h4
20,e3d4-e3d4;c3b4-g7f6;d2c3-e5f4;b4a5-f6g5;c3d4-h8g7
21,f2e3-g7f6;d2c3-e7d6;h2g3-f6e5;g3f4-c7b6;e3d4-b6c5
22,d2c3-g7f6;f2e3-e7d6;h2g3-c7b6;g3f4-f6e5;c3d4-b6c5
23,f2e3-c7b6;b2c3-e7d6;c3b4-d8c7;d4c3-b6c5;e3f4-c5a3;f4g5-d6e5
24,f2e3-c7b6;h2g3-b8c7;g3f4-d6c5;e3d4-c5f3;f4g5-c7b6;d2f4-b6a5
25,f2e3-e7d6;e3d4-c7b6;b2c3-g7f6;h2g3-b8c7;d4e5-f6b2;a1c3-b6a5
26,f2g3-a7b6;g3f4-b6c5;b2c3-e7d6;d2e3-f8e7;f4e5-d6d2;c1f3-c5b4
27,f2g3-c7b6;g3f4-b5a5;b2c3-g7f6;a1b2-b8c7;f4e5-f6d4;c3f5-c7d6
28,h2g3-e7d6;f2e3-d6c5;g3f4-a7b6;b2c3-c7d6;c3b4-c5a3
29,h2g3-c7b6;f2e3-b8c7;b2a3-b6a5;d2c3-e7d5;g1f2-d8e6;g3f4-b6c5
30,h2g3-e7f6;g3f4-a7b6;b2a3-b6a5;a3b4-a5c3;d2b4-g7h6;b4a5-b8a7
31,h2g3-c7d6;f2e3-g7e6;e3d4-f6g5;b2a3-b8c7;d2c3-g5h4;g3f4-h8g7
32,h2g3-g7f6;b2a3-h8g7;d2c3-f6e4;e1d2-e7d6;g3f4-e5f4;c3d4-e1d5
33,e2d3-d7e6;c2b3-c8d7;d3e4-d7c6;g2f3-h7g6;b3c4-g8h7;f1e2-g6f5
34,e2f3-b7c6;c2d3-d7e6;f3e4-c8b7;g2f3-b7a6;d1c2-c6b5;a2b3-b5a4
35,a1b3-b7c6;c2d3-c8b7;e2f3-d7e6;d3e4-h7g6;b1c2-g6h5;g2h3-c6d5;e4c6-b7d5
36,g2h3-d7c6;a2b3-b7a6;b3a4-c8b7;c2d3-f7g6;e2f3-c6d5;h3g4-e8f7
37,c2d3-b7a6;a2b3-a8b7;d1c2-f7e6;g2f3-d7c6;f3g4-h7g6;g4h5-e6d5
38,c2b3-d7e6;g2f3-h7g6;f3e4-e6d5;e4c6-b7d5;e2f3-c8d7;a2b3-g6f5